time,theta1,omega1,theta2,omega2,lensX,lensY
3.5,0.890443,0.890443,-0.206757,-0.206757,-0.483439,0.775837
3.51,0.912352,0.912352,-0.427281,-0.427281,-0.342997,0.947264
3.52,0.932199,0.932199,-0.64652,-0.64652,-0.202006,1.11632
3.53,0.949844,0.949844,-0.864014,-0.864014,-0.0606913,1.28259
3.54,0.965154,0.965154,-1.07931,-1.07931,0.08072,1.44565
3.55,0.978,0.978,-1.29196,-1.29196,0.222002,1.6051
3.56,0.988261,0.988261,-1.50152,-1.50152,0.362929,1.76054
3.57,0.99582,0.99582,-1.70756,-1.70756,0.503276,1.91158
3.58,1.00057,1.00057,-1.90965,-1.90965,0.642817,2.05784
3.59,1.00241,1.00241,-2.10738,-2.10738,0.78133,2.19895
3.6,1.00125,1.00125,-2.30034,-2.30034,0.918593,2.33457
3.61,0.996999,0.996999,-2.48813,-2.48813,1.05439,2.46436
3.62,0.989587,0.989587,-2.67037,-2.67037,1.18849,2.58798
3.63,0.978946,0.978946,-2.8467,-2.8467,1.3207,2.70514
3.64,0.965017,0.965017,-3.01675,-3.01675,1.45079,2.81553
3.65,0.947753,0.947753,-3.18018,-3.18018,1.57856,2.91889
3.66,0.927117,0.927117,-3.33667,-3.33667,1.70381,3.01495
3.67,0.903079,0.903079,-3.4859,-3.4859,1.82633,3.10348
3.68,0.875622,0.875622,-3.62758,-3.62758,1.94593,3.18424
3.69,0.844738,0.844738,-3.76143,-3.76143,2.06241,3.25705
3.7,0.810431,0.810431,-3.88719,-3.88719,2.1756,3.32172
3.71,0.772714,0.772714,-4.00462,-4.00462,2.28531,3.37809
3.72,0.731612,0.731612,-4.1135,-4.1135,2.39135,3.42601
3.73,0.68716,0.68716,-4.21361,-4.21361,2.49358,3.46537
3.74,0.639404,0.639404,-4.30478,-4.30478,2.59181,3.49607
3.75,0.588401,0.588401,-4.38684,-4.38684,2.6859,3.51803
