time,theta1,omega1,theta2,omega2,lensX,lensY
11.187,-1.15422,-1.15422,1.15422,1.15422,0,-1.63231
11.22,-0.356971,-0.356971,0.356971,0.356971,0,-0.504834
11.253,0.449564,0.449564,-0.449564,-0.449564,0,0.63578
11.286,1.2444,1.2444,-1.2444,-1.2444,0,1.75985
11.319,2.00686,2.00686,-2.00686,-2.00686,0,2.83812
11.352,2.71709,2.71709,-2.71709,-2.71709,0,3.84254
11.385,3.35661,3.35661,-3.35661,-3.35661,0,4.74697
11.418,3.9088,3.9088,-3.9088,-3.9088,0,5.52787
11.451,4.35926,4.35926,-4.35926,-4.35926,0,6.16493
11.484,4.69629,4.69629,-4.69629,-4.69629,0,6.64155
11.517,4.91111,4.91111,-4.91111,-4.91111,0,6.94535
11.55,4.99813,4.99813,-4.99813,-4.99813,0,7.06842
11.583,4.95509,4.95509,-4.95509,-4.95509,0,7.00755
11.616,4.78311,4.78311,-4.78311,-4.78311,0,6.76433
11.649,4.48666,4.48666,-4.48666,-4.48666,0,6.34509
11.682,4.07345,4.07345,-4.07345,-4.07345,0,5.76073
11.715,3.55425,3.55425,-3.55425,-3.55425,0,5.02647
11.748,2.94256,2.94256,-2.94256,-2.94256,0,4.1614
11.781,2.25429,2.25429,-2.25429,-2.25429,0,3.18805
11.814,1.50737,1.50737,-1.50737,-1.50737,0,2.13174
11.847,0.721215,0.721215,-0.721215,-0.721215,0,1.01995
11.88,-0.0837036,-0.0837036,0.0837036,0.0837036,0,-0.118375
11.913,-0.886444,-0.886444,0.886444,0.886444,0,-1.25362
11.946,-1.66612,-1.66612,1.66612,1.66612,0,-2.35625
11.979,-2.40243,-2.40243,2.40243,2.40243,0,-3.39756
12.012,-3.07624,-3.07624,3.07624,3.07624,0,-4.35045
12.045,-3.66999,-3.66999,3.66999,3.66999,0,-5.19014
12.078,-4.16823,-4.16823,4.16823,4.16823,0,-5.89477
12.111,-4.55802,-4.55802,4.55802,4.55802,0,-6.44601
12.144,-4.82919,-4.82919,4.82919,4.82919,0,-6.8295
12.177,-4.9747,-4.9747,4.9747,4.9747,0,-7.03528
12.21,-4.99075,-4.99075,4.99075,4.99075,0,-7.05799
12.243,-4.87693,-4.87693,4.87693,4.87693,0,-6.89702
12.276,-4.63621,-4.63621,4.63621,4.63621,0,-6.55659
12.309,-4.27484,-4.27484,4.27484,4.27484,0,-6.04553
12.342,-3.80223,-3.80223,3.80223,3.80223,0,-5.37716
12.375,-3.23067,-3.23067,3.23067,3.23067,0,-4.56886
12.408,-2.57505,-2.57505,2.57505,2.57505,0,-3.64167
12.441,-1.85242,-1.85242,1.85242,1.85242,0,-2.61972
12.474,-1.08159,-1.08159,1.08159,1.08159,0,-1.52959
12.507,-0.282606,-0.282606,0.282606,0.282606,0,-0.399666
12.54,0.523728,0.523728,-0.523728,-0.523728,0,0.740663
12.573,1.31643,1.31643,-1.31643,-1.31643,0,1.86172
12.606,2.07488,2.07488,-2.07488,-2.07488,0,2.93433
12.639,2.77934,2.77934,-2.77934,-2.77934,0,3.93058
12.672,3.41147,3.41147,-3.41147,-3.41147,0,4.82455
12.705,3.95483,3.95483,-3.95483,-3.95483,0,5.59297
12.738,4.39527,4.39527,-4.39527,-4.39527,0,6.21585
12.771,4.72134,4.72134,-4.72134,-4.72134,0,6.67698
12.804,4.92455,4.92455,-4.92455,-4.92455,0,6.96437
12.837,4.99961,4.99961,-4.99961,-4.99961,0,7.07052
12.87,4.94457,4.94457,-4.94457,-4.94457,0,6.99268
12.903,4.76087,4.76087,-4.76087,-4.76087,0,6.73288
12.936,4.45327,4.45327,-4.45327,-4.45327,0,6.29787
12.969,4.02979,4.02979,-4.02979,-4.02979,0,5.69898
13.002,3.50144,3.50144,-3.50144,-3.50144,0,4.95179
13.035,2.88199,2.88199,-2.88199,-2.88199,0,4.07574
13.068,2.18753,2.18753,-2.18753,-2.18753,0,3.09363
13.101,1.43615,1.43615,-1.43615,-1.43615,0,2.03102
13.134,0.647399,0.647399,-0.647399,-0.647399,0,0.91556
13.167,-0.158199,-0.158199,0.158199,0.158199,0,-0.223728
13.2,-0.959681,-0.959681,0.959681,0.959681,0,-1.35719
13.233,-1.73619,-1.73619,1.73619,1.73619,0,-2.45534
13.266,-2.46752,-2.46752,2.46752,2.46752,0,-3.4896
13.299,-3.13464,-3.13464,3.13464,3.13464,0,-4.43305
13.332,-3.72019,-3.72019,3.72019,3.72019,0,-5.26114
13.365,-4.20893,-4.20893,4.20893,4.20893,0,-5.95232
13.398,-4.58814,-4.58814,4.58814,4.58814,0,-6.48861
13.431,-4.84796,-4.84796,4.84796,4.84796,0,-6.85606
13.464,-4.98163,-4.98163,4.98163,4.98163,0,-7.04509
13.497,-4.98566,-4.98566,4.98566,4.98566,0,-7.05079
13.53,-4.85996,-4.85996,4.85996,4.85996,0,-6.87302
13.563,-4.60779,-4.60779,4.60779,4.60779,0,-6.5164
13.596,-4.23571,-4.23571,4.23571,4.23571,0,-5.9902
13.629,-3.75341,-3.75341,3.75341,3.75341,0,-5.30813
